, 41953
3, electric power
3, electric power generation
3, emergency assistance loan
3, emerging disease
3, energy efficiency improvement
3, energy reforms
3, energy savings
3, energy transmission
3, environmental management plan
3, equity capital
3, equity financing
3, ewec
3, f-trta
3, farmers
3, fast report
3, finance sector
3, financial literacy
3, financial management
3, financial sector development strategy
3, financial technology
3, flooding
3, food
3, food processing
3, food safety
3, fsm
3, gender
3, gender and development
3, gender equity
3, gms corridor towns development
3, grants
3, green housing
3, greenhouse gas
3, health systems
3, highways
3, horticulture
3, hydroelectric power
3, hydroelectricity
3, innovation
3, internet access
3, kathmandu valley
3, local government
3, low carbon
3, low-carbon
3, manufacturing
3, maritime transport
3, medium enterprises
3, micro enterprises
3, microenterprises
3, money
3, msme
3, municipal services
3, national highways
3, national roads upgrade
3, natural hazards
3, nauru
3, nonsovereign
3, olam international limited
3, outer islands
3, policy reforms
3, ports
3, power
3, power sector
3, power sector development
3, ppp projects
3, president
3, primary health care
3, private investments
3, project design
3, proposed adf grant
3, public expenditure management
3, public service delivery
3, railway transport
3, rajasthan
3, regional cooperation and integration
3, rehabilitation
3, risk management
3, road improvement
3, road network
3, roads construction
3, roads highways
3, roads improvement
3, rrp linked documents
3, rural finance
3, rural road safety
3, rural sector development
3, rural water supply
3, sewerage systems
3, shaanxi
3, small enterprises
3, sme leasing
3, social assistance
3, social services
3, solar power projects
3, solid wastes management
3, southeast asia
3, state owned enterprises
3, state-owned enterprises
3, sustainable environment
3, sustainable farming
3, sustainable tourism
3, teacher training
3, technical assistance grant
3, telecommunications
3, transparency
3, transport communications
3, transport sector
3, transport services
3, universal health coverage
3, urban infrastructure improvement
3, urban poor
3, urban services improvement
3, urban water
3, vaccination program
3, vietnam expressway corporation
3, wastewater
3, wastewater treatment plant
3, water pollution
3, water power
3, water quality
3, water services
3, watershed management
3, wind energy
3, wind power
3, women entrepreneurs
3, wss services
3, xinjiang uygur autonomous region
4, access to credit
4, access to electricity
4, access to vaccines
4, affordable housing
4, alternative energy
4, approved project
4, asia
4, assam
4, basic education
4, central asia regional economic cooperation
4, china agriculture
4, china water
4, coronavirus disease
4, covid-19 recovery
4, deadly diseases
4, dhaka
4, economic and financial governance
4, economic diversification
4, economic management
4, employment
4, energy conservation
4, environmental protection
4, ghg
4, gms economic corridors
4, gms tourism
4, good governance
4, health reforms
4, health services
4, health system development
4, healthcare
4, higher education
4, housing finance
4, ict infrastructure
4, immunization
4, industry and trade
4, information and communication technology
4, institutional capacity
4, integrated water resources management
4, loans
4, mff
4, microfinance institutions
4, multisector
4, municipal infrastructures and services
4, natural resources management
4, power projects
4, power transmission
4, private equity fund
4, proposed asian development fund grant
4, public debt management
4, railways
4, recommendations of the  president
4, recycling
4, road connectivity
4, road construction
4, road repair
4, road upgrade
4, secondary education
4, solar power generation
4, tax administration
4, technical education
4, technical training
4, technology
4, terms and  conditions
4, tertiary education
4, traffic management
4, transaction technical assistance
4, transport and ict
4, transportation
4, wastewater treatment plants
4, water management
4, water resources development
4, water transport
4, yangtze river economic belt
5, access to water
5, agriculture value chains
5, armenia
5, azerbaijan
5, board  approval
5, bridges
5, central asia
5, covid-19 impact
5, covid-19 vaccines
5, debt financing
5, decentralization
5, disaster preparedness
5, economic opportunities
5, electric power transmission
5, emergency assistance
5, emergency response
5, financial markets
5, financial stability
5, flood control
5, flood management
5, flood risk management
5, health system
5, ho chi minh city
5, infrastructure development
5, irrigated agriculture
5, kampong cham
5, livable cities
5, madhya pradesh
5, medical supplies
5, msmes
5, natural resources
5, palau
5, policy-based loan
5, public finance
5, public health threat
5, public services
5, quality education
5, rail transport
5, reconstruction
5, regional trade
5, rmi
5, road development
5, road widening
5, rural sanitation
5, safe water
5, service delivery
5, sustainable electricity supply
5, sustainable energy
5, tamil nadu
5, trade facilitation
5, transport corridors
5, ulaanbaatar
5, urban environment improvement
5, vaccination
5, vaccine procurement
5, water conservation
6, agro-industry
6, cook islands
6, cross-border trade
6, economic recovery
6, fiji
6, financing
6, human capital
6, hydropower
6, ino
6, investment
6, kiribati
6, logistics
6, macroeconomic stability
6, maharashtra
6, micronesia
6, natural disasters
6, natural gas
6, policy-based loans
6, private sector investments
6, project implementation
6, public-private partnership
6, regional connectivity
6, road reconstruction
6, safe drinking water
6, samoa
6, sanitation services
6, sme
6, sme development
6, sme finance
6, transport and communications
6, tuvalu
6, urban flood protection
6, wastewater management
6, water security
6, water supply and sanitation
7, agricultural productivity
7, carec corridors
7, covid-19 impacts
7, covid-19 vaccine
7, economic development
7, electricity supply
7, environment
7, financial services
7, human development
7, infrastructure finance
7, institutional development
7, investments
7, power plants
7, public administration
7, public expenditure and fiscal management
7, road transportation
7, rural electrification
7, rural infrastructure
7, sewerage
7, small and medium enterprises
7, south asia
7, urban water supply
7, water resources
8, additional financing
8, asian development fund grant
8, carec
8, climate change adaptation
8, disaster resilience
8, education sector development
8, electricity
8, energy supply
8, gender equality
8, investment funds
8, job creation
8, lao people's democratic republic
8, nonsovereign projects
8, power distribution
8, public transport
8, timor-leste
8, urban roads
8, urban sanitation
8, vocational education
8, waste management
9, capital markets
9, climate change mitigation
9, disease control
9, electricity distribution
9, energy generation
9, energy infrastructure
9, ict
9, maldives
9, marshall islands
9, potable water
9, poverty
9, project terms conditions
9, sasec
9, small and medium-sized enterprises
9, social development
9, solomon islands
9, sustainable development
9, trade
9, urban environmental improvement
9, water
10, banking systems
10, electricity generation
10, electricity transmission and distribution
10, energy sector development
10, financial inclusion
10, greater mekong subregion
10, multitranche financing facility
10, private sector participation
10, public sector
10, renewable energy generation
10, transport infrastructure
10, vanuatu
10, wastewater treatment
11, afghanistan
11, burma
11, climate change
11, equity investment
11, food security
11, health
11, inclusive growth
11, pacific
11, power supply
11, private sector investment
11, road rehabilitation
11, roads and highways
11, rural roads
11, sme financing
11, smes
11, solar power
11, ta projects
11, tar
11, urban transport
11, urbanization
12, agricultural production
12, cares program
12, disaster risk management
12, equity investments
12, kazakhstan
12, microfinance
12, poverty reduction
12, public expenditure
12, renewable energy projects
12, road maintenance
12, urban sewerage
13, agribusiness
13, apvax
13, asian development bank
13, electricity transmission
13, energy projects
13, farming
13, gms
13, power generation
13, private sector
13, solar energy
13, thailand
13, tvet
14, approved technical assistance
14, covid-19 pandemic
14, energy security
14, solid waste management
14, tonga
15, countercyclical support facility
15, natural resources conservation
15, png
15, ppp
15, public financial management
15, public-private partnerships
15, road transport
15, skills development
15, urban services
16, education
16, finance sector development
16, georgia
16, people's republic of china
16, transport
17, bhutan
17, drainage
17, flood protection
17, papua new guinea
17, report recommendation president
17, roads
18, fiscal management
18, inclusive finance
18, infrastructure
18, road transport improvement
18, rural development
19, kyrgyz republic
19, public sector management
20, energy efficiency
20, urban infrastructure
20, water resources management
21, agriculture
21, kyrgyzstan
21, laos
21, sustainable economic growth
22, capacity development
22, myanmar
22, report and recommendation of the president
22, road safety
23, climate resilience
23, regional cooperation
24, access to finance
24, irrigation
24, public health
24, social protection
24, tajikistan
25, capacity building
25, sanitation
25, urban development
27, finance
27, governance
29, environmental sustainability
30, viet nam
31, energy
31, pakistan
31, project approval
31, sri lanka
31, water supply
32, uzbekistan
33, clean energy
36, lao pdr
36, pandemic
36, philippines
36, private sector development
38, mongolia
42, covid-19 response
42, nepal
42, renewable energy
43, cambodia
44, coronavirus
44, vietnam
48, economic growth
49, indonesia
55, bangladesh
57, project terms and conditions
63, covid-19
90, china
106, india
108, prc
